artist_kr,artist_slug,title,medium,dimensions,date,auction_house,sale_name,lot,price,estimate,url
"김창열","kim-tschang-yeul","Untitled (Water drops), 1973","Oil on canvas","100 x 81 cm","2021년 12월 7일","Sotheby's","The Swiss Fine Art Sale","Lot 7","CHF226,800 • US$245,012","","/auction-result/6532532"
"김창열","kim-tschang-yeul","Gouttes d’eau (Waterdrops), 1973","oil on hemp cloth","99.5 x 99.5 cm. (39 1/8 x 39 1/8 in.)","2021년 11월 29일","Phillips • Hong Kong","20th Century & Contemporary Art & Design Day Sale in Association with Poly Auction","Lot 212","HK$819,000 • US$105,001","HK$450,000–HK$650,000 (est)","/auction-result/6539476"
"김창열","kim-tschang-yeul","Recurrence SP201404, 2010","oil on canvas","73 x 60.7 cm. (28 1/2 x 24 in.)","2021년 11월 29일","Phillips • Hong Kong","20th Century & Contemporary Art & Design Day Sale in Association with Poly Auction","Lot 210","HK$453,600 • US$58,154","HK$200,000–HK$300,000 (est)","/auction-result/6539474"
"김창열","kim-tschang-yeul","Bacchus, 1998","acrylic on wood","21 x 12 3/4 in. (53.3 x 32.4 cm)","2021년 11월 18일","Phillips • New York","20th Century & Contemporary Art Day Sale - Morning Session","Lot 192","US$52,920","US$40,000–US$60,000 (est)","/auction-result/6539799"
"김창열","kim-tschang-yeul","Saga C, 1993","lithograph","82 x 60 cm","2021년 10월 29일","SBI Art Auction","Modern and Contemporary Art ＠HILLSIDE FORUM","Lot 39","JPY ¥299,000 • US$2,632","","/auction-result/6524411"
"김창열","kim-tschang-yeul","Recurrence, 1997","oil and acrylic on canvas","194 x 161 cm","2021년 6월 23일","Dorotheum","Contemporary Art I","Lot 259","","€120,000–€180,000 (est)","/auction-result/6500545"
"김창열","kim-tschang-yeul","Waterdrops S.H.87026, 1987","oil and gold foil on canvas","161.1 x 128.3 cm. (63 3/8 x 50 1/2 in.)","2021년 6월 7일","Phillips • Hong Kong","20th Century & Contemporary Art & Design Day Sale in Association with Poly Auction","Lot 222","HK$2,016,000 • US$259,812","HK$1,200,000–HK$2,200,000 (est)","/auction-result/6541457"
"김창열","kim-tschang-yeul","Recurrence SH2013003, 2011","acrylic and oil on canvas","300 x 195 cm","2021년 5월 25일","Christie's","20th and 21st Century Art Afternoon Session","Lot 266","HK$1,250,000 • US$160,992","HK$500,000–HK$700,000 (est)","/auction-result/6495107"
"김창열","kim-tschang-yeul","CSH I, 1978","oil on hemp cloth","182 x 227.5 cm. (71 5/8 x 89 5/8 in.)","2021년 5월 24일","Christie's","20th and 21st Century Art Evening Sale","Lot 71","HK$9,850,000 • US$1,268,623","HK$4,800,000–HK$6,000,000 (est)","/auction-result/6976078"
"김창열","kim-tschang-yeul","P. A. 84010, 1984","oil on canvas","195 x 163 cm","2021년 5월 20일","China Guardian","Contemporary Art Evening Sale I","Lot 2086","CN¥2,070,000 • US$321,678","CN¥1,800,000–CN¥2,500,000 (est)","/auction-result/6510737"
