artist_key,n_works,raw_coef,shrunk_coef
bahk younghoon,6,7.82994907972405,7.32370683832323
bang seokho,5,8.296610460963702,7.506413304802974
bang soo yeon,4,6.31751655535709,6.539016329404399
bang soyun,20,7.08807199540589,7.013700826053162
bareum kim,31,6.764210346363933,6.757544485569254
barn miryung,28,7.99193599037141,7.79864510526093
bell nakai,1,6.922534416408725,6.750602526603326
benedikt hipp,2,8.128954436009609,7.1198556593186355
beom jun,22,6.686213009034901,6.691769145999224
beomsik won,13,7.481153206432156,7.2686706903794045
bien u bae,4,8.075626928070312,7.320398717276943
bihop,9,6.531224900578511,6.597293203458416
billy gibney,1,6.619170836011346,6.70004192987043
blake daniels,1,8.137045791292358,6.953021089083932
bo gyeong gong,4,6.0499144363504245,6.420082054290325
bo kim,4,5.2024705766635595,6.043440338873941
bokhyun shin,10,6.065994080353656,6.282734769783186
bokyeong jang,6,5.647225846276884,6.133130529170231
bokyung joung,8,6.962499348257175,6.867775040712972
bomee lee,5,7.198143047341118,6.957179597991683
bomin kim,7,6.982400163900434,6.871490157542856
bon bu kim,2,6.253601838072219,6.584040631336525
bongsook paik,5,5.390932530497494,6.05357433956987
bonhwa cho,3,6.251505693532809,6.541949727976207
bonjeong koo,2,6.941253687313441,6.780512588262588
boomoon,2,7.1098352259503725,6.828678742158854
boonhlue yangsouy,1,6.226677195205948,6.63462632306953
bora hong,5,6.8990972162390225,6.807656682440634
boram kim,12,6.327052525640071,6.441512414758358
bosun park 박보선,3,6.0424309907000096,6.463546714413908
boyeun kim,1,7.12891285956129,6.78499893379542
boyoon sim,1,6.769946064280901,6.725171134582022
byen ungpil,17,7.095976557903281,7.00966737398032
byeolhee jeon,7,6.546741933444807,6.617356189777073
byeonghee min,36,7.0188987577630035,6.9819862444555945
byeongrae kim,10,3.1354942159291506,4.3290681935001825
byeongrok you,3,6.672966476161578,6.699997521461996
byeongseok hwang,9,6.539975672792494,6.602918699881691
byeori yang,16,5.948904932689187,6.131598079344677
byul kim,13,6.24526653886069,6.376085874911123
byun kyung sup,5,7.146457169212199,6.931336658927222
byun sanghwan,38,6.348639366088365,6.39138085243184
byung gu lee,54,5.969107640006705,6.032421920399546
byung jin kim,2,8.189000374419743,7.13701164172153
byung kwan kim,13,7.033823904225294,6.945599527674448
byung taek jeon,33,6.923035989773577,6.895822852782612
byung wang cho,18,7.393374695193835,7.246166315508708
byungho lee,41,7.830315623869888,7.709217854823405
byungjin kim,36,6.9925931266117205,6.9588886171032485
cai ruei heng,3,6.853215672098164,6.767590969938215
calla r,1,6.797337803882593,6.729736424515637
candice joo,1,7.671740782828182,6.875470254339902
candy koh,2,8.988728955124833,7.3655055219229855
ccreatt,4,7.277826617321304,6.965820801388494
cha hanbyul,10,7.091527162353739,6.966423491116575
cha il man,2,8.59157623366512,7.252033315791638
cha young seok,31,7.768835278883937,7.62263817746148
chae jungwan,20,6.309779170172748,6.391066565866647
chae lee,6,5.839126953868056,6.237803860583597
chae sung pil,29,8.296564877957037,8.064160653057804
chaeeun nam,12,6.519080514522616,6.57706158338133
chaesun kim,29,6.786279294534694,6.775975890726981
chaewon im,1,6.570299241077267,6.691896664048083
chaewon moon,4,6.235446648912381,6.502540815428973
chaeyoon bang,25,4.751710941337738,5.079128475888489
chaeyoung noh,151,6.668511118233589,6.670040125618482
chamy shin,57,6.68407420851719,6.6866663004627584
chan gyu koh,4,7.313167388954023,6.981527811003036
chang beom son,15,5.058281947563609,5.472765497833268
chang sook young,10,7.123991124497179,6.988066132545535
chang youngeun,7,6.536691597591306,6.61149349386253
changmin lim,63,8.069168468889279,7.969686680635821
changwoo yoon,15,5.922134691624581,6.120655055878998
changyeol gu,11,5.587600720366792,5.940293041702871
chankyung jung,6,7.31478829654895,7.0427100475004485
chansong kim,4,6.5886803558766225,6.659533574079747
chansoo hwang,6,7.487422819445751,7.136874332716885
cheol jin lee,19,6.850274320988154,6.822345535082757
cheolmin im,12,6.16116983417591,6.324418750195421
cheolyu kim,2,7.309960359807434,6.8858573518323
cheongah,7,5.412761500938906,5.955867604148632
cheyon woo,2,5.679241365740083,6.4199376392416285
cheyoung yoon,1,6.718314098082761,6.716565806882332
chloe ji yoon,2,6.62699416068497,6.690724152083024
chloe park,4,4.2156995180359,5.604875423928315
cho hye young,1,7.07707602359884,6.776359461135012
cho jungeun,1,6.257783403284636,6.639810691082644
cho mina,8,6.247703551699064,6.427900704369519
cho sungil,2,7.519988468196398,6.945865382800576
choi eun hyea,45,6.877618184561898,6.861477980969933
choi eunjoo,2,6.67907322729679,6.705603885400687
choi moon seok,19,7.517520850603033,7.350582371027869
choi myung ae,4,6.86627235030512,6.782907793825746
choi sung wook,1,6.76520426658586,6.724380834966182
choi yeonjai,7,6.312925187334505,6.480963087879398
choi young,2,5.864967432101988,6.473002229630744
choi young wook,8,8.858118009254998,8.034309601327017
choi youngmi,1,6.6420521132491315,6.703855476076726
choin lim,157,6.431331081933479,6.440123830905971
choong yeul yoo,5,7.699584376173775,7.20790026240801
choongmok yoo,45,6.943797050329403,6.921038960160688
chris measor,5,7.081513605115603,6.898864876878925
chu mirim,7,7.79961285671412,7.348197561684173
chul hyoung ji,2,6.803434599136378,6.7411357059262835
chulho park,27,5.3964286554936685,5.602645451298134
chun kyungja,8,6.791212348577551,6.7623676562947415
chung eun chun,2,6.166696668931449,6.55921058301059
chung hyunhee,2,6.4893517599995185,6.651397751887181
chung sang hwa,5,8.300280189852664,7.508248169247454
chungshin,1,7.520882817524938,6.850327260122694
cl ment rodzielski,3,9.289462072919793,7.681183370246327
clara baik,18,6.534004270306536,6.573615548205604
cs kim,62,5.853454998265338,5.917840158741226
da eun chung,5,5.341492671410482,6.028854410026364
da young kim,2,5.557426066555761,6.385133268046109
dabin lee,68,6.422832263932313,6.442927050556281
dae hyun kim,7,5.428028973069694,5.964773629558256
daesun choi,57,6.432091039136104,6.455004354418858
daeun an,5,5.991377594366742,6.353796871504494
daeun lee,3,6.205853178688349,6.5248300349095345
dagyeong yun,10,5.9364135733906345,6.196347765141172
dahee,2,6.480900963632299,6.6489832386394045
dahee yang,9,5.708519574940469,6.068411208405389
dahyun kim,5,6.178358608679293,6.44728737866077
dahyun song,18,6.265918331399977,6.3638091612352525
dain lim,33,6.486479680364263,6.516708163032418
dajung go,3,5.89613886715253,6.408687168083603
dallrye kang,11,6.622860424969247,6.652034088617059
dan bee son,1,5.829667464654243,6.568458034644245
dan kim,5,4.819520985354323,5.767868566998285
daniel archer,2,6.805120997997708,6.741617534172378
daniel henrich,2,5.308656302512724,6.31405619260524
daniel kim,13,7.07923210675872,6.978394340615256
