,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,,,,,,298,"oil on canvas, speaker",18,캔버스,유화,,학습 제외,
,,,,,,299,캔버스 위에 광물 안료와 유채,18,캔버스,"유채, 안료",,,
,,,,,,300,마대에 유채,18,캔버스,유채,,,
,,,,,,301,"종이에 수묵담채, 먹",18,종이,수묵,,,
,,,,,,302,종이에 수묵담채/액자,18,종이,수묵,,,
,,,,,,303,핸드페인팅 스틸컷,18,금속,기타,분류 미매칭,,
,,,,,,304,"드라이포인트, 에칭",18,종이,"에칭, 드라이포인트",,,
,,,,,,305,"캔버스에 유채, 레진에 조각 액자",18,캔버스,유화,,학습 제외,
,,,,,,306,캔버스에 오일스틱,18,캔버스,오일스틱,,,
,,,,,,307,캔버스 보드에 유채,18,캔버스,유채,,,
,,,,,,308,"종이에 수묵담채, 펜",18,종이,수묵,,,
,,,,,,309,닥종이에 수묵담채,17,종이,수묵,,,
,,,,,,310,conte on paper,17,종이,콘테,,,
,,,,,,311,장지에 아크릴,17,장지,아크릴릭,,,
,,,,,,312,"지클레이 프린트, 혼합재료",17,종이,"지클레이 프린트, 혼합재료",,,
,,,,,,313,나무에 아크릴,17,패널,아크릴릭,,,
,,,,,,314,aquatint,16,종이,아쿼틴트,,,
,,,,,,315,"종이에 연필, 오일스틱",16,종이,"연필, 오일스틱",,,
,,,,,,316,"종이에 먹, 채색",16,종이,수묵,,,
,,,,,,317,"C-프린트, 디아섹",16,종이,"디지털 C-프린트, 디아섹",,,
,,,,,,318,탁본,16,기타,기타,분류 미매칭,학습 제외(고미술),
,,,,,,319,oil on board,16,보드,유채,,,
,,,,,,320,graphite on paper,16,종이,흑연,,,
,,,,,,321,charcoal ink on paper,16,종이,수묵,,,
,,,,,,322,giclée print on canvas,16,캔버스,지클레이 프린트,분류 미매칭,,
,,,,,,323,ink on mulberry paper,16,종이,수묵,,,
,,,,,,324,비단에 금니,16,비단,채색,,,
,,,,,,325,종이에 먹/가배접,16,종이,수묵,,,
,,,,,,326,"실크스크린, 텍스쳐 UV 프린트",16,종이,실크스크린,,,
,,,,,,327,"석판화, 에칭",16,종이,"에칭, 석판",,,
,,,,,,328,"보드에 스크린프린트, 콜라주",16,보드,실크스크린,,,
,,,,,,329,캔버스 위 한지에 아크릴,16,"캔버스, 한지",아크릴릭,,,
,,,,,,330,대나무,16,없음,목공예,,,
,,,,,,331,레진에 채색(아트상품),16,기타,채색,,학습 제외,
,,,,,,332,아트판화,15,종이,판화,,학습 제외(판단 불가),
,,,,,,333,acrylic and pencil on paper,15,종이,"아크릴릭, 연필",,,
,,,,,,334,레진에 채색,15,기타,채색,,학습 제외,
,,,,,,335,타피스트리,15,태피스트리,,,,
,,,,,,336,패브릭에 전사,15,섬유,전사,분류 미매칭,,
,,,,,,337,"캔버스 위 한지부조에 수묵채색, 아크릴",15,캔버스,"한지부조, 아크릴릭, 채색",,,
,,,,,,338,금속,15,금속,기타,분류 미매칭,학습 제외,
,,,,,,339,"석판화, 스크린프린트",15,종이,"석판, 실크스크린",,스크린프린트=실크스크린,
,,,,,,340,acrylic on Korean paper mounted on canvas,15,한지,아크릴릭,,,
,,,,,,341,watercolor on Korean paper,15,종이,수채,,,
,,,,,,342,colored pencil on envelope,15,봉투,색연필,,,
,,,,,,343,코튼에 유채,15,캔버스,유채,,,
,,,,,,344,캔버스에혼합,15,캔버스,혼합재료,,,
