width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,collected_material_raw,nant_support,nant_tool,nant_material_note,nant_material_match_method,nant_material_idx
65.0,91.0,4.0,5915.0,8.685246776412487,1.4,True,False,mixed_media,canvas,mixed_media__canvas,False,True,121,"acrylic, gesso, oil, enamel, gouache",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,False,True,122,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
27.5,41.0,2.0,1127.5,7.027758071376834,1.490909090909091,True,False,mixed_media,canvas,mixed_media__canvas,False,True,123,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
232.0,58.0,3.5,13456.0,9.507180382212727,4.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,124,"acrylic, oil, gesso, gouache, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
80.3,116.8,4.0,9379.04,9.146232691346842,1.4545454545454546,True,False,mixed_media,canvas,mixed_media__canvas,False,True,125,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
100.0,65.0,3.0,6500.0,8.779557455883728,1.5384615384615383,True,False,ink,linen,ink__linen,False,True,128,ink,캔버스,수묵,rule_based_material_parse,rule_material_parse,4.0
25.8,17.9,3.0,461.82,6.135175204774281,1.4413407821229052,True,False,acrylic,canvas,acrylic__canvas,False,True,129,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,False,True,130,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,False,True,132,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
61.0,73.7,5.1,4495.7,8.410876663368603,1.2081967213114757,True,False,oil,linen,oil__linen,False,True,133,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
43.0,54.0,2.0,2322.0,7.7501841622578365,1.255813953488372,True,False,mixed_media,canvas,mixed_media__canvas,False,True,134,"oil, gesso",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,False,True,135,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
73.0,73.0,2.0,5329.0,8.580918882296782,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,136,"oil, acrylic, enamel, oil stick",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
