candidate_label,eval_split,n,MdAPE,MAPE,p95_APE,RMSE_log,delta_vs_current_pp258_MdAPE,delta_vs_current_pp258_MAPE,delta_vs_current_pp258_p95_APE,delta_vs_current_pp258_RMSE_log
min1_route_w775_risk_q60_althigher_gap005,test,607,0.10631555453141896,0.2418271371056336,0.7814626507472144,0.37855408748648967,-0.034660846095108874,-0.028061058673512246,-0.025862056544231904,-0.018899742064780733
min1_route_w775_risk_q60_althigher_gap010,test,607,0.10573512980995432,0.24185080571499698,0.7814626507472144,0.3786715374880566,-0.03524127081657351,-0.028037390064148876,-0.025862056544231904,-0.0187822920632138
min1_route_w775_risk_q50_althigher_gap020,test,607,0.10659775415481275,0.2418616173000007,0.7791959634055454,0.3786566389375776,-0.03437864647171508,-0.028026578479145164,-0.02812874388590092,-0.018797190613692782
min1_route_w625_risk_q50_althigher_gap005,test,607,0.10718318433838524,0.24188009181499404,0.7791959634055454,0.37714360686627246,-0.033793216288142594,-0.02800810396415182,-0.02812874388590092,-0.020310222684997936
min1_route_w775_risk_q60_althigher_gap020,test,607,0.10659775415481275,0.24191750995390326,0.7791959634055454,0.3787013865388529,-0.03437864647171508,-0.02797068582524259,-0.02812874388590092,-0.01875244301241752
min1_route_w800_risk_q50_althigher_gap010,test,607,0.10498664344245205,0.2424032357089083,0.7847419795553487,0.3790437767972607,-0.03598975718407578,-0.02748496007023757,-0.022582727736097596,-0.018410052754009698
min1_route_w850_risk_q70_althigher_gap020,test,607,0.10386129904256679,0.24242140913318125,0.791362101574755,0.3793406145070175,-0.037115101583961044,-0.027466786645964608,-0.01596260571669139,-0.018113215044252895
min1_route_w850_risk_q70_althigher_gap010,test,607,0.1056244418332164,0.2424291670843709,0.791362101574755,0.3791119974615757,-0.03535195879331143,-0.027459028694774956,-0.01596260571669139,-0.0183418320896947
min1_route_w800_risk_q50_althigher_gap005,test,607,0.10583620793314219,0.24246296421743369,0.7847419795553487,0.37896170571695814,-0.03514019269338564,-0.02742523156171217,-0.022582727736097596,-0.018492123834312257
min1_route_w850_risk_q70_althigher_gap005,test,607,0.10573512980995432,0.24247131869507116,0.791362101574755,0.37913233681557135,-0.03524127081657351,-0.027416877084074698,-0.01596260571669139,-0.018321492735699052
min1_route_w800_risk_q60_althigher_gap010,test,607,0.10498664344245205,0.2424995235553867,0.7847419795553487,0.3790976406016587,-0.03598975718407578,-0.027388672223759153,-0.022582727736097596,-0.018356188949611718
min1_route_w800_risk_q60_althigher_gap005,test,607,0.10583620793314219,0.24257103171577737,0.7847419795553487,0.3790253875961961,-0.03514019269338564,-0.027317164063368482,-0.022582727736097596,-0.018428441955074315
min1_route_w800_risk_q50_althigher_gap020,test,607,0.10654696791845651,0.24263299805759056,0.7847419795553487,0.37914542392101774,-0.03442943270807132,-0.027255197721555297,-0.022582727736097596,-0.018308405630252655
min1_route_w800_risk_q60_althigher_gap020,test,607,0.10654696791845651,0.2426876018379947,0.7847419795553487,0.3792016923336047,-0.03442943270807132,-0.027200593941151152,-0.022582727736097596,-0.01825213721766572
min1_route_w850_very_high_price,test,607,0.10659775415481275,0.24273999521239048,0.791362101574755,0.3790561905545142,-0.03437864647171508,-0.027148200566755376,-0.01596260571669139,-0.01839763899675617
min1_route_w850_risk_q50_althigher_gap010,test,607,0.10300157501389953,0.24408019772216522,0.791362101574755,0.3800281001057111,-0.0379748256126283,-0.02580799805698064,-0.01596260571669139,-0.017425729445559313
min1_route_w850_risk_q50_althigher_gap020,test,607,0.10219252034339757,0.24410397647376317,0.791362101574755,0.38021850485476966,-0.03878388028313026,-0.02578421930538269,-0.01596260571669139,-0.017235324696500742
min1_route_w850_risk_q50_althigher_gap005,test,607,0.103393186957145,0.24412881738752398,0.791362101574755,0.38005376271588837,-0.03758321366938283,-0.025759378391621873,-0.01596260571669139,-0.017400066835382033
min1_route_w850_risk_q60_althigher_gap010,test,607,0.10300157501389953,0.24418498694174415,0.791362101574755,0.380097671508883,-0.0379748256126283,-0.02570320883740171,-0.01596260571669139,-0.017356158042387382
min1_route_w850_risk_q60_althigher_gap020,test,607,0.10219252034339757,0.24418871377119505,0.791362101574755,0.38030526636400364,-0.03878388028313026,-0.025699482007950802,-0.01596260571669139,-0.017148563187266763
min1_route_w850_risk_q60_althigher_gap005,test,607,0.103393186957145,0.24426996171032656,0.791362101574755,0.3801449778728931,-0.03758321366938283,-0.0256182340688193,-0.01596260571669139,-0.017308851678377313
current_pp258_operational_reference,test,607,0.14097640062652783,0.26988819577914586,0.8073247072914463,0.3974538295512704,0.0,0.0,0.0,0.0
min1_route_w850_risk_q50_altlower_gap005,validation_oof,519,0.09403317473087637,0.17511402479805038,0.5712913918014471,0.2975405441410193,-0.028674139833831574,-0.030514535181591168,-0.0665967182926156,-0.025796048571940455
min1_route_w850_risk_q70_altlower_gap005,validation_oof,519,0.09819631660739556,0.17512238540614403,0.5712913918014471,0.2970947076279462,-0.02451099795731239,-0.030506174573497524,-0.0665967182926156,-0.026241885085013572
min1_route_w850_risk_q50_altlower_gap010,validation_oof,519,0.09403317473087637,0.17514708156647052,0.5712913918014471,0.2974765232049531,-0.028674139833831574,-0.03048147841317103,-0.0665967182926156,-0.025860069508006678
min1_route_w850_risk_q60_altlower_gap005,validation_oof,519,0.09440661499063376,0.1751587102116,0.5712913918014471,0.2975060424424713,-0.02830069957407419,-0.03046984976804154,-0.0665967182926156,-0.025830550270488473
min1_route_w850_risk_q70_altlower_gap010,validation_oof,519,0.09819631660739556,0.1751770454664421,0.5712913918014471,0.297078624250204,-0.02451099795731239,-0.03045151451319944,-0.0665967182926156,-0.0262579684627558
min1_route_w850_risk_q60_altlower_gap010,validation_oof,519,0.09440661499063376,0.17520180850888162,0.5712913918014471,0.2974580355688689,-0.02830069957407419,-0.030426751470759933,-0.0665967182926156,-0.025878557144090875
min1_route_w850_risk_q70_altlower_gap020,validation_oof,519,0.09819631660739556,0.17538396385502017,0.5712913918014471,0.2969928231547633,-0.02451099795731239,-0.03024459612462138,-0.0665967182926156,-0.026343769558196506
min1_route_w850_risk_q50_altlower_gap020,validation_oof,519,0.09529566095434584,0.1754686522965668,0.5712913918014471,0.29741342532311366,-0.027411653610362102,-0.03015990768307475,-0.0665967182926156,-0.025923167389846125
min1_route_w850_risk_q60_altlower_gap020,validation_oof,519,0.0964251703208934,0.17549317391347033,0.5712913918014471,0.29742264623825354,-0.026282144243814545,-0.03013538606617122,-0.0665967182926156,-0.02591394647470624
min1_route_w850_risk_q50,validation_oof,519,0.09065272755456642,0.17595262323723115,0.5772661746139477,0.2975877789449576,-0.03205458701014152,-0.029675936742410397,-0.06062193548011496,-0.0257488137680022
min1_route_w850_risk_q50_altgap_ge010,validation_oof,519,0.09053616874854332,0.17598907407977651,0.5772661746139477,0.2975823328903017,-0.03217114581616462,-0.029639485899865037,-0.06062193548011496,-0.025754259822658054
